EN,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,sameas1,sameas2,sameas3,sameas4,sameas5
Design thinking,0,0,1,0,0,1,0,0,0,0,,,,,
Digital literacy,1,1,1,1,1,1,1,1,1,0,,,,,
Digital disruption,0,0,1,0,0,0,0,0,0,0,,,,,
Digitalisation,1,1,1,1,1,1,1,1,1,0,,,,,
Fragmentation,0,0,0,0,0,1,0,1,0,0,,,,,
Industrial Internet of Things,0,0,0,0,0,1,0,0,1,0,Fourth Industrial Revolution,,,,
Industry 4.0,1,1,1,1,1,1,1,1,1,0,Industrie 4.0,,,,
Lean manufacturing,0,0,0,0,0,1,0,0,0,0,Lean Production,,,,
Machine learning,1,1,1,1,1,1,1,1,1,0,,,,,
Micro-credentials,1,1,1,1,1,1,1,1,1,0,,,,,
Operational Technology,0,0,0,1,0,1,0,0,1,0,,,,,
Platform economy,0,0,0,1,0,1,0,0,0,0,,,,,
Pull economy,0,0,0,1,0,0,0,0,0,0,,,,,
Search Engine Optimisation,0,1,0,1,1,1,1,0,0,0,,,,,
Servitisation,0,0,0,0,0,0,0,0,0,0,,,,,
Shared economy,0,0,1,0,0,1,0,0,0,0,Collaborative Consumption,,,,
Smart cities,0,0,0,0,0,0,0,1,1,0,,,,,
Smart grids,0,0,0,0,0,0,0,1,1,0,,,,,
3D Simulation,0,0,0,0,0,0,0,0,1,0,,,,,
Cyber-Resilience,0,0,0,1,0,1,0,0,0,0,,,,,
Data Science,0,0,0,1,0,0,0,0,0,0,,,,,
Deep Learning,1,1,1,1,1,0,1,1,1,0,,,,,
Edge Computing,0,1,1,1,1,0,1,1,1,0,,,,,
Industrial Software,0,0,0,0,0,1,0,1,0,0,MES,,,,
Manufacturing Execution System,0,0,0,0,0,1,0,0,0,0,OSI,,,,
Open Interconnected Systems,0,0,0,0,0,1,1,1,0,0,Open Systems Interconnection Model,OSI Model,,,
Production Analystics,0,0,0,0,0,1,0,0,0,0,,,,,
Reference Architecture Model Industry 4.0,0,0,0,0,0,1,0,0,0,0,RAMI 4.0,,,,
Software as a Service,0,0,0,0,0,0,1,0,0,0,SAAS,,,,
Computer Graphics,1,1,0,0,0,0,0,0,1,0,CG,,,,
Bit,1,1,1,1,1,1,1,1,1,0,,,,,
Byte,1,1,1,1,1,1,1,1,1,0,,,,,
Business Intelligence,0,0,0,1,0,0,0,0,0,0,BI,,,,
Customer Journey Tracking,0,0,0,1,0,0,0,0,0,0,,,,,
Cyber-Physical System,0,0,0,0,0,1,0,0,0,0,CPS,,,,
Horizontal Integration,0,0,0,0,1,0,0,0,0,0,,,,,
Plug and Work,0,0,1,0,0,1,0,1,0,0,Plug and Play,,,,
Vertical Integration,0,0,0,0,0,1,0,0,0,0,,,,,
Automated Storage and retrieval System,0,0,0,0,1,1,0,0,0,0,ASRS,AS/RS,,,
Computer-Aided Design,1,1,0,0,0,0,0,0,1,0,CAD,,,,
Computer-Aided Manufacturing,0,0,0,0,0,1,0,0,0,0,CAM,,,,
Computer-Integrated Manufacturing,1,1,1,0,0,1,0,0,1,0,CIM,,,,
Computer Numerical Control,0,0,0,0,0,0,0,0,0,0,CNC,,,,
Collaborative Robot,0,0,1,0,0,0,0,0,1,0,Cobot,,,,
Cross-Training,0,0,1,0,0,1,0,0,0,0,,,,,
Digital Twin,0,0,0,0,0,1,0,0,0,0,,,,,
Flexible Manufacturing System,0,0,0,0,0,1,0,0,0,0,FMS,,,,
Just-in-Time,0,0,0,0,0,1,0,0,0,0,JIT, Continuous-Flow Production,,,
Low-Power Wide-Area Network,0,0,0,0,0,1,0,1,0,0,LP-WAN,LPWA,,,
MQ Telemetry Transport,0,0,0,0,0,1,0,1,0,0,MQTT,,,,
OPC Unified Architecture,0,0,1,0,0,1,0,0,0,0,OPC UA,,,,
Wireless Sensor Networks,0,0,0,0,0,0,0,1,0,0,WSN,,,,
Cybersecurity,0,0,0,1,0,1,1,0,0,0,,,,,
Digital Transformation Strategy,0,0,0,0,0,1,0,1,0,0,,,,,
Supply Chain,0,0,0,0,0,1,0,0,0,0,,,,,
Digitization,1,1,1,1,1,1,1,1,1,0,,,,,
Mixed-Modal Production,0,0,0,0,0,1,0,0,0,0,,,,,
Risk-Based Planning & Schedulling,0,0,0,0,0,1,0,0,0,0,RPS,,,,
SMAC,0,0,0,1,0,1,0,1,0,0,Third Platform,,,,
Data Ownership,0,0,0,1,0,0,0,0,0,0,,,,,
Decentralized Intelligence,0,0,0,0,0,0,0,0,0,0,,,,,
Flexibility,0,0,1,0,0,1,0,1,0,0,,,,,
Human-Robot Collaboration,0,0,1,0,0,0,0,0,0,0,,,,,
Advance Encrption Standard,0,0,0,0,1,0,0,0,0,0,AES,,,,
Application Programming Interface,0,0,1,0,0,0,0,1,0,0,API,,,,
Backhaul,0,0,0,0,0,1,0,1,1,0,,,,,
Bluetooth Low Energy,0,0,0,0,0,0,0,1,0,0,BLE,Bluetooh 4.0,BTLE,,
Embedded Software,0,0,0,0,1,0,1,0,0,0,,,,,
Firmware Over-the-Air,0,0,0,0,1,0,1,0,0,0,FOTA,,,,
Gateway,0,0,0,0,0,0,0,0,1,0,,,,,
General Packet Radio Service,0,0,0,0,0,0,0,0,0,1,GPRS,,,,
Industrial Scientific and Medical Band,0,0,0,0,0,0,0,1,0,0,ISM,,,,
Link Budget,0,0,0,0,0,0,0,0,0,1,,,,,
Low-Power Wireless Sensor Network,0,0,0,0,0,0,0,0,0,1,,,,,
LoRa Protocol,0,0,0,0,0,0,0,0,0,1,LoRaWAN,,,,
Media Access Control,0,0,0,0,0,0,0,0,0,1,MAC,,,,
Mote,0,0,0,0,0,0,0,1,0,0,,,,,
Near-Field Communication,0,0,0,0,0,0,0,0,0,1,NFC,,,,
Quality of Service,1,0,0,0,0,1,0,0,0,0,QoS,,,,
Radiofrequency,0,0,1,0,0,0,0,1,0,0,RF,,,,
RF Geolocation,0,0,1,0,0,1,0,0,0,0,,,,,
Repeater,0,0,1,0,0,1,0,0,0,0,,,,,
Smart Meter,0,0,0,0,0,1,0,0,0,0,,,,,
Software-Defined Network,0,0,0,0,0,0,0,0,0,1,SDN,,,,
Structure Attenuation,0,0,0,0,0,0,0,0,0,1,,,,,
Transmission Control Protocol/Internet Protocol,0,0,0,0,0,0,0,0,0,1,TCP/IP,,,,
Ultra-Wide Band,0,0,0,0,0,0,0,0,0,1,UWB,,,,
ZigBee,0,0,0,0,0,0,0,0,0,1,Z-Wave,,,,
IoT Cloud Platform,0,0,0,0,0,0,0,1,0,0,,,,,
Mobile IoT,0,0,0,0,0,0,0,1,0,0,,,,,
IoT Protocol,0,0,0,0,0,0,0,1,0,0,,,,,
Global Navigation Satellite System,0,0,0,0,0,0,0,1,0,0,GNSS,,,,
Narrowband IoT,0,0,0,0,0,0,0,1,0,0,NB-IoT,,,,
Mesh Network,0,0,0,0,0,0,0,0,0,1,,,,,
Telematics,0,0,0,0,0,0,0,0,0,1,,,,,
6LoWPAN,0,0,0,0,0,0,0,0,0,1,Low Power Wireless Network,,,,
Beacon Technology,0,0,0,0,0,0,0,0,0,1,,,,,
LTE-M,0,0,1,0,0,0,0,0,0,1,,,,,
Sensor Network,0,0,0,0,0,0,0,1,0,0,Sensor,,,,
Wearable,0,0,0,0,0,0,0,1,0,0,,,,,
Actuator,0,0,1,0,0,0,0,0,0,0,,,,,
Advanced Message Queuing Protocol,0,0,1,0,0,1,0,0,0,0,AQMP,,,,
Application Agents,0,0,1,0,0,0,0,0,0,0,,,,,
Chirp,0,0,0,0,0,0,0,1,0,0,,,,,
Competing Consumers,0,0,0,0,0,0,0,0,0,1,,,,,
Connected Device,0,0,1,0,0,1,0,1,0,0,Connected Product,,,,
Connectivity Protection,0,0,1,0,0,1,0,1,0,0,,,,,
Constrained Application Protocol,0,0,0,0,0,0,0,1,0,0,CoAP,,,,
Data Filtration,0,0,0,1,0,0,0,0,0,0,,,,,
Device-Agnostic Control,0,0,0,0,1,0,0,0,0,0,,,,,
Direct Messaging,0,0,0,0,1,0,0,0,0,0,,,,,
Edge Gateway,0,0,0,0,1,0,0,0,0,0,,,,,
Edge Layer,0,0,0,0,1,0,0,0,0,0,,,,,
Embedded Device,0,0,0,0,0,1,0,1,0,0,Embedded Systems,,,,
Endpoint Device,0,0,0,0,0,1,0,1,0,0,,,,,
Flow-Based Programming,0,0,0,0,0,0,0,0,0,1,,,,,
Geofencing,0,0,0,0,0,0,0,0,0,1,,,,,
Haze Computing,0,0,0,0,1,0,0,0,0,0,,,,,
Home Automation,0,0,0,0,0,1,0,1,0,0,,,,,
Industrial Internet,0,0,0,0,0,0,1,1,0,0,,,,,
Integrator,0,0,0,1,0,0,0,0,0,0,,,,,
IoT Development Board,0,0,0,0,0,0,0,1,0,0,,,,,
Lightweight Protocol,0,0,0,0,0,0,0,0,0,1,,,,,
Long Range Communication Protocols,0,0,1,0,0,0,0,1,0,0,,,,,
Low-Power Device,0,0,1,0,0,0,0,1,0,0,,,,,
Microcontroller,0,0,1,0,0,0,0,0,0,0,MCU,,,,
Messaging Protocol,0,0,0,0,1,0,0,1,0,0,,,,,
Message Queuing Telemetry Transport,0,0,0,0,0,0,0,1,0,0,MQTT,,,,
Multi-Agent System,0,0,0,0,0,1,0,0,0,0,,,,,
Operability,0,0,0,0,0,1,0,0,0,0,,,,,
Personal Area Network,0,0,0,0,0,0,0,0,0,1,PAN,,,,
Propagator,0,0,0,0,0,0,0,0,0,1,,,,,
Real-Time Operating System,0,0,0,0,0,1,0,0,0,0,RTOS,,,,
Releasability,0,0,0,0,0,0,1,0,0,0,,,,,
Single-Board Computer,0,0,1,0,1,0,0,0,0,0,,,,,
Site-Level Management,0,0,0,0,0,1,0,0,0,0,,,,,
Store and Forward,0,0,0,0,0,0,0,0,0,1,,,,,
System on a Chip,0,0,1,0,0,0,0,0,0,0,,,,,
Ubiquitous Computing,0,0,0,0,0,1,0,0,0,0,,,,,
Wireless Local Area Network,0,0,0,0,0,0,0,0,0,1,WLAN,Wi-Fi,,,
Cat M1,0,0,0,0,0,0,0,0,0,1,Cat M1,,,,
Cellular IoT,0,0,0,0,0,0,0,1,0,0,,,,,
PCS Type Cerification Review Board,0,0,0,0,0,0,0,1,0,0,PTCRB,,,,
SigFox,0,0,0,0,0,0,0,0,0,1,,,,,
5G,0,0,0,0,0,0,0,0,0,1,,,,,
AIoT,0,0,0,0,0,0,0,1,0,0,,,,,
Anamoly Detection,0,0,0,1,0,0,0,0,0,0,,,,,
Condition Monitoring,0,0,0,1,0,1,0,0,0,0,CM,,,,
Connectivity,0,0,0,0,0,1,0,1,0,0,Internet Connectivity,,,,
Dashboard,1,1,1,1,1,1,1,1,1,0,,,,,
Data-Driven Decision Management,0,0,0,1,0,0,0,0,0,0,DDDM,,,,
Dead Zone,0,0,0,0,0,0,0,0,0,1,,,,,
Downtime,0,1,0,0,0,1,0,0,1,0,,,,,
Edge Device,0,0,0,0,0,0,0,1,0,0,,,,,
Environmental Monitoring,0,0,0,0,0,1,0,0,0,0,,,,,
Equipment Monitoring,0,0,0,0,0,1,0,0,0,0,,,,,
Fleet Management,0,0,0,0,0,1,0,0,0,0,,,,,
Hardware Agnostic,0,0,0,0,0,1,0,0,0,0,,,,,
Internet of Medical Things,0,0,0,0,0,0,0,1,0,0,,,,,
Modbus,0,0,1,0,1,1,0,1,0,0,,,,,
Preventive Maintenance,0,0,0,0,0,1,0,0,0,0,,,,,
Redundancy,0,0,0,1,0,0,0,0,0,0,,,,,
Remote Monitoring and Control,0,0,0,0,0,1,0,0,1,0,M&C,,,,
Return on Investment,0,0,0,1,0,0,0,0,0,0,ROI,,,,
Role-Based Access Control,0,0,0,0,0,1,0,0,0,0,RBAC,,,,
Sustainable Development Goal,0,0,0,0,0,0,0,0,0,0,SDG,,,,
Software Development Kit,0,0,1,0,0,0,1,0,0,0,SDK,,,,
Skills gap,0,0,0,0,0,1,0,0,0,0,,,,,
Sub-GHz,0,0,0,0,0,0,0,0,0,1,,,,,
Upskilling,0,0,0,0,0,1,0,0,0,0,,,,,
Advance Message Queueing Protocol,0,0,0,0,1,0,0,1,0,0,,,,,
Allocation Policy,0,0,0,0,0,0,0,1,0,0,,,,,
Attestation Mechanism,0,0,0,0,0,0,0,1,0,0,,,,,
Automatic Deployment,0,0,1,0,0,1,0,0,0,0,,,,,
Automatic Device Configuration,0,0,0,0,0,1,0,0,0,0,,,,,
Automatic Device Management,0,0,0,0,0,1,0,0,0,0,,,,,
Back-End App,0,0,0,0,0,1,0,1,0,0,,,,,
Built-in Endpoints,0,0,0,0,0,0,0,1,0,0,,,,,
Cloud Gateway,0,0,0,0,0,0,0,1,0,0,,,,,
Cloud Property,0,0,0,0,0,0,0,1,0,0,,,,,
Cloud-to-Device,0,0,0,0,0,0,0,1,0,0,,,,,
3G,0,0,0,0,0,1,0,1,0,0,,,,,
4G,0,0,0,0,0,1,0,1,0,0,,,,,
Address of Device,0,0,0,0,0,0,0,1,0,0,,,,,
Architecture,1,1,1,1,1,1,1,1,1,0,,,,,
Address Resolution Protocol,0,0,0,1,0,1,0,0,0,0,ARP,,,,
Brownfield,0,0,0,0,0,1,0,0,0,0,,,,,
Business Logic,0,0,0,0,0,1,0,1,0,0,,,,,
Cloud,0,0,0,0,1,0,0,0,0,0,,,,,
Cloud Communication,0,0,0,0,1,0,0,0,0,0,,,,,
Controller,0,0,1,0,0,0,0,0,0,0,,,,,
Credential,0,0,0,1,1,0,0,0,0,0,,,,,
Data Centre,0,0,0,1,0,0,0,0,0,0,Data Center,,,,
Device,1,1,1,1,1,1,1,1,1,0,,,,,
Hardware,1,1,1,1,1,1,1,1,1,0,,,,,
Device Discovery,0,0,0,0,0,1,0,1,0,0,,,,,
Domain Model,0,0,0,1,0,0,0,0,0,0,,,,,
Ecosystem in IoT,0,0,0,0,0,0,1,0,0,0,,,,,
Edge of IoT,0,0,0,0,0,0,1,0,0,0,,,,,
eDiscovery,0,0,0,0,0,0,0,0,0,0,,,,,
Electronically Stored Information,0,0,0,1,0,0,0,0,0,0,ESI,,,,
Embedded Computing,0,0,0,0,1,0,0,0,0,0,Embedded Systems,,,,
Energy-Harvesting Technologies,0,0,0,0,0,1,0,0,0,0,Power Harvesting,,,,
Geotagging,0,0,0,0,0,0,0,1,0,0,,,,,
Global Storage,0,0,0,0,1,0,0,0,0,0,,,,,
Global System for Mobile Communications,0,0,0,0,0,0,1,1,0,0,GMS,,,,
Short Message Service,0,0,0,0,0,0,0,0,0,1,SMS,,,,
Haystack,0,0,0,0,0,0,0,1,0,0,,,,,
Host,0,0,1,0,0,1,0,1,0,0,,,,,
Hybrid Cloud,0,0,0,0,1,1,1,1,0,0,,,,,
Infrastructure as a Service,0,0,0,0,0,0,1,0,0,0,IAAS,,,,
Identity,0,0,0,1,1,0,0,0,0,0,,,,,
Internet of Everything,0,0,0,0,0,0,1,1,0,0,,,,,
Local Storage,0,0,0,0,1,0,0,0,0,0,,,,,
Location Technologies,0,0,0,0,0,1,1,1,0,0,,,,,
Low-Power Radio Network,0,0,0,0,0,0,0,0,0,1,,,,,
Long Term Evolution,0,0,0,0,0,0,0,1,0,0,LTE,,,,
Machine Learning Algorithm,1,1,1,1,1,1,1,1,1,0,,,,,
Body Area Network,0,0,0,0,0,0,0,0,0,1,BAN,WBAN,Wireless Body Area Network,Body Sensor Network,
Observer,0,0,0,0,0,0,0,0,0,0,,,,,
Open API,0,1,1,0,1,1,1,1,0,0,,,,,
Open Source,1,1,1,1,1,1,1,1,1,0,,,,,
Persavise Computing,0,0,1,0,0,1,0,1,0,0,Ubiquitous Computing,,,,
Pervasive Sensing,0,0,1,0,0,1,0,1,0,0,,,,,
Platform as a Service,0,0,0,0,0,0,1,1,0,0,PAAS,,,,
Power over Ethernet,0,0,0,0,0,0,0,0,0,1,PoE,,,,
Representational State Transfer,0,0,0,0,0,0,0,0,0,1,REST,,,,
HyperText Transfer Protocol,0,0,0,0,0,0,0,0,0,1,HTTP,,,,
Single Sign-On,0,0,0,0,1,0,0,0,0,0,,,,,
Tag,0,0,0,1,0,0,0,0,0,0,,,,,
Unconstrained Network,0,0,0,0,0,0,0,0,0,1,,,,,
Virtual Entity,0,0,0,1,1,0,0,0,0,0,,,,,
Wearable Technology,0,0,0,0,0,0,0,1,0,0,Wearable Tech,,,,
Wireless Communication Technology,0,0,0,0,0,1,0,1,0,0,,,,,
Wireless Sensors and Actuators Network,0,0,1,0,0,1,0,1,0,0,WSAN,,,,
6LoWPAN header compression,0,0,0,0,0,0,0,0,0,1,,,,,
Active Digital Entity,0,0,0,0,0,0,0,0,0,1,,,,,
Ambient Assisted Living,0,0,0,0,0,0,0,1,0,0,AAL,,,,
Alljoyn,0,0,0,0,0,0,0,0,0,1,,,,,
Ambient Intelligence,0,0,1,0,0,0,0,1,0,0,,,,,
Application Software,1,1,1,1,1,1,1,1,1,0,,,,,
Architecture Vision,0,1,1,0,0,1,0,0,1,0,,,,,
Arduino,0,0,1,0,0,0,0,0,0,0,,,,,
Augmented Entity,0,1,0,0,0,0,0,0,0,0,Digital Twin,,,,
AutoID and Mobility Technology,0,0,0,1,0,1,0,0,0,0,,,,,
Base Transceiver Station,0,0,0,0,0,1,0,1,0,0,BTS,,,,
Cloud Orchestration,0,0,0,0,1,0,0,0,0,0,,,,,
Cooperating Objects,0,0,0,0,0,1,0,0,0,0,,,,,
Digital Data Storage,0,0,0,0,1,0,0,0,0,0,DDS,,,,
Domotics,0,0,1,0,0,0,0,1,0,0,,,,,
Digital Signal Processing,0,0,1,0,0,0,0,0,0,0,DSP,,,,
European Article Number,1,0,0,0,0,1,0,0,0,0,EAN,,,,
Enhanced Data Rates for GSM Evolution,0,0,0,0,0,0,0,0,0,1,,,,,
E-Health,0,0,0,0,0,0,0,0,0,1,,,,,
External Machine Interface,0,0,1,0,0,1,0,0,0,0,,,,,
Universal Computer Protocol,0,0,0,0,0,0,0,0,0,0,UCP,,,,
Electronic Product Code Information Services,0,0,0,0,0,0,0,0,0,1,EPCIS,,,,
Electrostatic Discharge,0,0,0,0,0,0,0,0,0,1,ESD,,,,
Geographic Information System,0,0,0,0,0,0,0,0,0,1,GIS,,,,
Haptic Technology,0,0,1,0,0,0,0,0,0,0,,,,,
Identifier,0,0,0,1,0,0,0,0,0,0,,,,,
Initial Graphics Exchange Specification,1,0,0,0,0,0,0,0,0,0,IGES,,,,
Internet Group Management Protocol,0,0,0,0,0,0,0,0,0,1,IGMP,,,,
Information Model,0,0,0,1,0,0,1,1,0,0,,,,,
Interface,1,1,1,1,1,1,1,1,1,0,,,,,
Autonomous Robots,0,0,1,0,0,0,0,0,0,0,,,,,
Big Data,0,0,0,1,0,0,0,0,0,0,,,,,
Cloud Robotic,0,0,1,0,1,0,0,1,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
